id,secs_elapsed
00023iyk9l,22253.74358974359
0010k6l0om,9460.370967741936
001wyh0pz8,3179.38202247191
0028jgx1x1,9900.333333333334
002qnbzfs5,8232.335025380711
0031awlkjq,5653.428571428572
0035hobuyj,11730.881147540984
00378ocvlh,24691.405405405407
00389675gq,14805.176136363636
003iamz20l,9816.271604938273
0048rkdgb1,7330.044444444445
0057snrdpu,49016.96296296296
005jc3nbmb,111757.8
005v5uf4dh,5079.4
0063bawn05,80486.91891891892
006ml14zc1,7043.551724137931
006mls2sjw,12496.226804123711
006t3vhawl,31362.153846153848
006z8b0uws,27018.5
0075z9e9xv,7971.057777777778
007gj7kqdk,46300.75
009a40t3dk,83171.96
00a8dbifj8,6891.611111111111
00an0o6c07,6253.445945945946
00b9hfwaak,12521.25352112676
00bn6hu437,26097.14285714286
00bowi9sn3,7556.8
00bqkh0g5i,874.0
00bxmflswn,33398.72549019608
00c8w2zol1,1382.6666666666667
00cdlcsaxu,22833.694444444445
00cu8ilsh0,6766.2
00cyqikqy3,93798.5
00d41chbjd,59713.95652173913
00dj8as8yl,9839.851851851852
00du2h6jcx,11685.85294117647
00e4nxhdvv,3094.084745762712
00e8bokexa,450.5
00ep2pem90,54978.875
00epe0uaxo,13342.626984126984
00eqsrxf1a,6868.1
00fhpdik5t,8503.346153846154
00fn6wu77e,75063.91428571429
00fyswof3k,64732.71428571428
00g3pdo41k,10110.255319148937
00g52q8uim,6314.9876543209875
00gnokb79e,7996.9473684210525
00gpn5xx7t,37670.188405797104
00guzlz8b8,67717.54054054055
00hy2p1zsj,18472.0
00iapy7gb3,55879.6
00imb14nx5,3227.0
00ipxpr25h,4973.875
00j0znb0n6,7477.748427672956
00j993htr2,67062.475
00j9fxfvut,2065.25
00jbbo26ah,15207.333333333334
00jcwpqbl2,2321.0
00jp2043rl,13594.521739130434
00kbbr6qom,111459.875
00kc2e4bgp,17679.698529411766
00kdqzjqmm,9926.9375
00kpv7ok66,10963.5
00lglrzikw,31722.897435897437
00ljwkmboz,16396.512315270935
00lmbolz20,478041.5
00m6r72cz5,6324.322033898305
00mf69gfet,34573.51111111111
00mxgl4bmi,694.5
00nd20ya9v,22389.024242424242
00od2fx9cx,18188.11111111111
00pnmrr9y4,10630.809523809523
00pxs10250,42244.13888888889
00q5gbt7y3,163363.63636363635
00qhpquukc,772.5
00raoz1gfp,31507.864197530864
00rc560l5d,14308.49504950495
00rhdi533j,15957.932475884245
00ri3ux25n,81206.36842105263
00rri85g49,1073.0
00rudms01g,49205.04761904762
00s1ecz3b2,23420.608695652172
00s4r7wk7c,8227.4
00smy0z227,10124.583333333334
00tkidvaw5,7745.329268292683
00tol0jq6b,7910.611764705883
00u60lmz9p,34863.78571428572
00uh75242k,22193.14285714286
00urnt6rg8,18893.64024390244
00v0o06skl,15201.709677419354
00v3py7ooq,33084.95348837209
00v742bb74,10989.675
00ycccvlbm,7967.625
00ycgxqszj,53189.153846153844
00ye4r0vr2,14678.714285714286
00zfq9bobc,17321.545454545456
00zmemwtfc,42209.6231884058
0101qa70hh,17022.901515151516
0103eppomz,20951.275862068964
010u9xtmry,18721.56603773585
01154kld3t,4021.8734177215188
01188d2ec6,18065.44761904762
011iw8wp1i,26456.666666666668
0123a3t7jn,14577.4
012arqz80g,1037.0
01416gkt5f,41391.857142857145
0159z3qxdu,38000.42307692308
015fy89ycb,17872.423076923078
015wz0i7jm,10246.014925373134
0162c7s9xo,27262.071428571428
0165xv7l4p,100782.55
0171cgdh5r,1850.25
0174n9s5zb,12587.19
017hizxm3t,45715.0
017rmzerma,8215.627118644068
017xmi55i2,1837.0
018hagx0ak,19312.229166666668
018ohg6x31,46568.9
018pzk08a1,10158.587570621468
019chjonln,19046.70238095238
019h7z9hyq,371.0
019m4zvzgn,6345.3725490196075
019mc8biwf,30766.432926829268
019rnywata,5190.1
01a4aq3lx5,17276.333333333332
01abo5ge4d,7698.113636363636
01azaxsab3,16010.83482142857
01b1nq2bd3,3994.0
01b38fp04a,25211.975308641977
01bgo63nhd,24873.333333333332
01bkwy6yj6,9638.196078431372
01c9r7ie91,38166.75555555556
01cj73ax7u,453890.6666666667
01d0rmob25,41387.0
01dayfw8pb,39502.1
01dh30zqjd,39610.17857142857
01dh6l1e0v,126642.7
01dq5wt9wi,30425.549618320612
01e5z8uboa,12580.447674418605
01ew44r315,4941.44
01exzqnc72,7964.925925925926
01ez9tkx4j,8759.181992337164
01fg7p4sw4,34407.4578313253
01fw2lvx95,27692.96153846154
01fwvwj7ty,13850.611111111111
01h3bi25td,7527.0
01h847y59t,7780.824675324675
01hfd5lsel,60154.882352941175
01hwxjvgv9,5352.519867549669
01imhrckdb,68007.77272727272
01isr5pepu,5417.982456140351
01j8386d5o,102241.96428571429
01jpu3s93u,2317.0
01k7ukdrq8,18393.333333333332
01khid4m8b,33486.19696969697
01kv2ppj25,43040.741514360314
01l0vcvuks,32037.85714285714
01l5gtpaww,3508.0
01lepjs4ob,25286.79487179487
01luupsq2i,52430.5
01m8ip0i8n,2891.625
01mc83wvzb,20322.714285714286
01mlkg3zzo,15933.863636363636
01nq1sjufy,25203.13888888889
01nvbbx1ex,15209.625
01o9c11yqp,22670.428571428572
01p3ynmfs7,22025.702127659573
01p5c8u6uu,14110.318181818182
01p6v22cpv,60551.74074074074
01pf0x59hw,18799.5
01prgm98hp,8530.527272727273
01pu2kpp16,13244.333333333334
01qg7x3r0i,9392.882352941177
01qvb6ufnz,35837.81428571429
01r1eo9sy4,24363.923076923078
01r1jwa1bt,22265.872
01r3iatdvv,31287.884615384617
01rhnp842p,4731.618181818182
01rxy1cqen,58963.829268292684
01sab9628i,938.8
01t3q8gtl5,14744.57740585774
01toc3l9y5,15504.554545454546
01txi6fdmp,29209.636363636364
01uqiyywt0,1147.0
01v8snvai9,30950.14285714286
01vcdymtdm,3665.0
01vm0x5xgu,21562.71186440678
01vn1up05f,5626.076923076923
01vqtdhket,24254.0
01w22yhf78,25959.904884318767
01w5zolph1,14696.722222222223
01wlak3qqf,4833.55
01wt0ipfjy,76604.44736842105
01wx38ktej,2671.0
01x9xtvnj9,16364.388888888889
01xw5fkmyq,6761.615384615385
01y0pr4z4m,6459.254545454545
01y5ghkbcn,20006.0625
01y7ip21qv,20032.885714285716
01y7vkmqv1,11410.451253481895
01z9aubobv,34124.666666666664
01zb5k0yh2,22415.0
01zm75r23f,82212.30769230769
0204hiia1e,24747.257142857143
020ia9eujh,29387.521739130436
020qjhjqe8,13139.255813953489
020t9l5tx8,6841.865671641791
021h9b5hoe,39370.49180327869
021hmh1f5i,35273.125
021jjbvslg,19584.219512195123
021vzwpa8w,5124.730994152047
022m8al7xx,16453.480392156864
022tctcqid,5414.3125
023mzjguit,12472.074074074075
024ata8x3d,11208.041666666666
025qxbsaog,5807.333333333333
025sv1949e,20702.81818181818
0262vs5rv9,38474.9125
026a0etyle,17999.6511627907
026vkxnrk4,23175.871794871793
02708gikhn,20814.833333333332
0283egj0y1,102879.29032258065
0291diw5cw,32737.2
029elfv342,32466.0
029q92mbfc,8273.85
02a81kpn4e,19705.0
02asl3rrf6,20228.68992248062
02ba36r0nc,20622.275862068964
02bt4nuqa7,27469.841025641024
02c9qrqjjj,86000.0
02ce32w92h,24820.88275862069
02cge47jti,5551.0
02czjh08pf,10383.6
